Total,Ambiguous,Word,POS
128,86/54/42,gravis,e
128,128/0/0,imperium/ii,n.
128,113/16/15,nolo/non uis/nolle/nolui,PossibleVerb.
128,0/335/128,publica/ae,f.
128,0/299/128,licet/licere/licuit,impers.
127,80/68/47,praecipio/is/ere/cepi/ceptum,PossibleVerb.
127,44/150/83,liber/era/erum,PossibleVerb.
127,41/162/86,Graecus,adj.
127,127/0/0,quaestio/ionis,f.
127,127/0/0,oculus/i,m.
127,127/0/0,mater/tris,f.
127,127/0/0,crimen/inis,n.
126,15/398/111,sol/solis,m.
126,126/0/0,sin,conj. sub.
126,126/0/0,quin,conj.
126,126/0/0,gens/gentis,f.
126,126/0/0,auctoritas/atis,f.
125,125/0/0,spes/ei,f.
125,125/0/0,frater/tris,m.
125,125/0/0,exemplum/i,n.
124,102/32/22,regnum/i,n.
123,0/275/123,potis/pote,PossibleVerb.
122,94/37/28,recipio/is/ere/cepi/ceptum,PossibleVerb.
122,62/93/60,orator/oris,m.
122,26/144/96,aequus/aecus,adj.
122,116/6/6,redeo/is/ire/ii/itum,PossibleVerb.
122,0/472/122,multum/i,n.
121,80/95/41,sto/as/are/steti/statum,PossibleVerb.
121,121/0/0,impono/is/ere/sui/situm,PossibleVerb.
121,121/0/0,diu,adv.
120,82/48/38,audeo/es/ere/ausus sum,PossibleVerb.
120,74/100/46,vinco/is/ere/uici/uictum,PossibleVerb.
120,22/202/98,liber/bri,m.
120,21/151/99,proprius,adj.
120,120/0/0,tunc,adv.
120,120/0/0,numquam,adv.
120,120/0/0,Christus/i,m.
118,0/421/118,solum/i,n.
117,48/105/69,honor/oris,m.
117,117/0/0,negotium/ii,n.
116,67/93/49,os/ossis,n.
116,116/0/0,studium/ii,n.
116,0/278/116,totum/i,n.
115,96/28/19,mens/entis,f.
115,62/85/53,fortuna/ae,f.
115,15/293/100,genu/us,n.
115,103/13/12,exigo/is/ere/egi/actum,PossibleVerb.
114,98/17/16,arbitror/aris/ari/atus sum,PossibleVerb.
114,84/40/30,species/ei/f,PossibleVerb.
114,68/69/46,propono/is/ere/posui/positum,PossibleVerb.
114,48/113/66,utilis,e
114,114/0/0,tribunus/i,m.
114,0/247/114,facile,adv.
113,52/203/61,gigno/geno/is/ere/genui/genitum,PossibleVerb.
113,41/156/72,proficio/is/ere/feci/fectum,PossibleVerb.
113,113/0/0,praeter/conj. coord.,prep. + acc.
113,113/0/0,demonstro/as/are,PossibleVerb.
112,94/22/18,prior/oris,PossibleVerb.
112,52/105/60,necessarius,adj.
112,16/166/96,propinquus,adj.
112,112/0/0,prohibeo/es/ere/bui/bitum,PossibleVerb.
112,109/4/3,civis/is,m.
112,10/404/102,ver/eris,n.
111,70/69/41,vetus/eris,PossibleVerb.
110,77/51/33,tollo/is/tollere/sustuli/sublatum,PossibleVerb.
110,56/66/54,colo/is/ere/colui/cultum,PossibleVerb.
110,32/307/78,loco/as/are,PossibleVerb.
109,43/107/66,adeo/is/ire/ii/itum,PossibleVerb.
109,109/0/0,morbus/i,m.
109,109/0/0,haud/hau/haut,adv. neg.
108,65/85/43,nosco/is/ere/noui/notum,PossibleVerb.
107,47/102/60,talis,e
107,107/0/0,testamentum/i,n.
106,94/13/12,permitto/is/ere/misi/missum,PossibleVerb.
106,89/19/17,disco/is/ere/didici,PossibleVerb.
106,106/0/0,pervenio/is/ire/ueni/uentum,PossibleVerb.
106,106/0/0,copia/ae,f.
105,7/555/98,dico/as/are,PossibleVerb.
105,38/150/67,fortis,e
105,29/138/76,medius,adj.
104,46/113/58,decerno/is/ere/creui/cretum,PossibleVerb.
104,104/0/0,intersum/es/esse/fui,PossibleVerb.
104,0/400/104,natura/ae,f.
103,69/48/34,adicio/is/ere/ieci/iectum,PossibleVerb.
103,47/77/56,auctor/oris,m.
102,99/3/3,ignoro/as/are,PossibleVerb.
102,82/33/20,laudo/as/are,PossibleVerb.
102,38/141/64,sancio/is/ire/sanxi/sanctum,PossibleVerb.
102,102/0/0,heres/edis,m.
102,102/0/0,antoninus/i,m.
101,32/118/69,paro/as/are : preparer/procurer (paratus,adj.
101,101/0/0,Q,,PossibleVerb.
101,0/284/101,ceterum/i,n.
101,0/257/101,solo/as/are,PossibleVerb.
100,39/109/61,qualis,e
100,100/0/0,utique,adv.
100,100/0/0,restituo/is/ere/tui/tutum,PossibleVerb.
100,0/1645/100,quam/quamde/quande,adv.
99,99/0/0,mons/montis,m.
99,93/6/6,cogito/as/are,PossibleVerb.
99,90/11/9,muto/as/are,PossibleVerb.
99,69/91/30,anima/ae,f.
99,31/156/68,proficiscor/eris/i/fectus sum,PossibleVerb.
99,0/575/99,factum/i,n.
99,0/271/99,tantum,adv.
98,98/0/0,o,excl.
98,98/0/0,ingenium/ii,n.
98,76/33/22,eques/itis,m.
98,57/90/41,verto/vorto/is/ere/uerti/uersum,PossibleVerb.
98,2/234/96,animo/as/are,PossibleVerb.
98,0/359/98,malum/i,n.
98,0/359/98,malum/i,n.
97,96/1/1,italia/ae,f.
97,93/5/4,poena/ae,f.
97,74/30/23,suscipio/succipio/is/ere/cepi/ceptum,PossibleVerb.
97,49/97/48,caveo/es/ere/caui/cautum,PossibleVerb.
96,96/0/0,addo/is/ere/didi/ditum,PossibleVerb.
96,85/12/11,reperio/is/ire/rep(p)eri/repertum,PossibleVerb.
95,95/0/0,velut,adv.
95,95/0/0,mulier/is,f.
95,9/150/86,dubius,adj.
95,88/8/7,libertas/atis,f.
95,87/26/8,principium/ii,n.
95,58/53/37,nox/noctis,f.
95,45/77/50,perficio/is/ere/feci/fectum,PossibleVerb.
95,43/108/52,morior/eris/i/mortuus sum,PossibleVerb.
95,0/248/95,summum/i,n.
94,94/0/0,plerique/aeque/aque,PossibleVerb.
94,94/0/0,parum,adv.
94,93/2/1,metus/us,m.
94,77/20/17,conor/aris/ari,PossibleVerb.
94,71/29/23,integer/gra/grum,PossibleVerb.
94,68/116/26,malo/mauis/malle/malui,PossibleVerb.
94,64/43/30,appareo/es/ere/ui/itum,PossibleVerb.
94,0/309/94,primum,adv.
93,93/0/0,aliquando,adv.
93,92/1/1,confero/fers/ferre/tuli/latum,PossibleVerb.
93,81/17/12,statuo/is/ere/statui/statutum,PossibleVerb.
93,67/30/26,rogo/as/are,PossibleVerb.
93,48/81/45,maneo/es/ere/mansi/mansum,PossibleVerb.
93,43/69/50,pax/pacis,f.
93,36/131/57,alienus,adj.
93,31/86/62,sanguis/inis,m.
93,15/179/78,adverto/(aduorto) is/ere/uerti/uersum,PossibleVerb.
93,1/354/92,magus,adj.
92,92/0/0,adhuc/adhoc,adv.
92,79/15/13,excipio/is/ere/cepi/ceptum,PossibleVerb.
92,78/33/14,finio/is/ire/iui/itum,PossibleVerb.
92,75/21/17,confiteor/eris/eri/fessus sum,PossibleVerb.
92,45/76/47,mille/n. ia/ium,PossibleVerb.
92,37/100/55,occido/is/ere/occidi/occisum (ob + caedo),PossibleVerb.
92,0/214/92,saepes/is,f.
91,91/0/0,ecclesia/ae,f.
91,91/0/0,dubito/as/are,PossibleVerb.
91,81/20/10,praetor/oris,m.
91,0/353/91,magus/i,m.
91,0/295/91,sata/orum,n.
90,80/11/10,comparo/as/are,PossibleVerb.
90,73/26/17,accuso/as/are,PossibleVerb.
90,71/21/19,timeo/es/ere/timui,PossibleVerb.
90,40/119/50,fallo/is/ere/fefelli/falsum (fallitum),PossibleVerb.
89,28/101/61,sanus,adj.
89,27/109/62,uter/tra/trum,PossibleVerb.
89,11/233/78,veneo/is/ire/ivi (ii)/itum,intr.
88,88/0/0,consuetudo/dinis,f.
88,87/1/1,prosum/prodes/prodesse/profui,PossibleVerb.
88,77/14/11,dignus,adj.
88,76/16/12,augeo/es/ere/auxi/auctum,PossibleVerb.
88,62/38/26,memoria/ae,f.
88,0/173/88,super/era/erum cf. superus,PossibleVerb.
87,87/0/0,tempto/tento/as/are,PossibleVerb.
87,87/0/0,auxilium/ii,n.
87,55/97/32,opera/ae,f.
87,5/248/82,rectus,adj.
87,34/82/53,mando/as/are,PossibleVerb.
87,28/145/59,sapio/is/ere/ii,PossibleVerb.
87,0/289/87,satis,adv.
86,86/0/0,denique,adv.
86,85/1/1,infero/es/ferre/tuli/illatum,PossibleVerb.
86,74/15/12,transeo/is/ire/ii/itum,PossibleVerb.
86,69/24/17,solvo/is/ere/ui/utum,PossibleVerb.
86,43/118/43,vito/as/are,PossibleVerb.
86,0/346/86,maga/ae,f.
86,0/173/86,accido/is/ere/cidi,PossibleVerb.
86,0/173/86,accido/is/ere/cidi,PossibleVerb.
85,85/0/0,multitudo/dinis,f.
85,85/0/0,amicitia/ae,f.
85,85/0/0,adhibeo/es/ere/ui/itum,PossibleVerb.
85,70/18/15,divido/is/ere/uisi/uisum,PossibleVerb.
85,26/115/59,communis,e
85,0/345/85,magis/mage,adv.
84,84/0/0,seu,conj. sub.
84,84/0/0,scilicet,adv.
84,58/36/26,instituo/is/ere/tui/tutum,PossibleVerb.
84,55/63/29,oro/as/are,PossibleVerb.
84,34/73/50,amplus,adj.
84,0/266/84,minus,adv.
83,83/0/0,gloria/ae,f.
83,83/0/0,circa,prep. + acc.
83,78/22/5,filia/ae,f.
83,7/193/76,appello/is/ere/puli/pulsum,PossibleVerb.
83,64/29/19,salus/utis,f.
83,22/121/61,os/oris,n.
83,19/116/64,intro/as/are,PossibleVerb.
83,0/981/83,quid,adv. interr.
82,82/0/0,conficio/is/ere/feci/fectum,PossibleVerb.
82,78/6/4,praesidium/ii,n.
82,72/12/10,incipio/is/ere/cepi/ceptum,PossibleVerb.
82,69/15/13,oppidum/i,n.
82,18/169/64,exercitus/us,m.
82,0/167/82,super,prep. + acc. / abl.
81,81/0/0,necessitas/atis,f.
81,81/0/0,extra,prep. + acc.
81,81/0/0,cibus/i,m.
81,71/11/10,munus/eris,n.
81,15/170/66,patrius,adj.
81,14/127/67,incido/is/ere/cidi/cisum (in+caedo),PossibleVerb.
80,80/0/0,medicamentum/i,n.
80,75/6/5,vulnus/vulnus/eris,n.
80,56/33/24,absum/es/esse/afui,PossibleVerb.
79,79/0/0,scipio/onis,m.
79,79/0/0,prius,adv.
79,79/0/0,impleo/es/ere/eui/etum,PossibleVerb.
79,79/0/0,hora/ae,f.
79,77/4/2,desum/es/esse/defui,PossibleVerb.
79,23/129/56,pareo/parreo/es/ere/ui/itum,PossibleVerb.
78,78/0/0,quare,adv. et conj.
78,70/9/8,retineo/es/ere/ui/tentum,PossibleVerb.
78,10/102/68,commodus,adj.
77,77/0/0,argumentum/i,n.
77,72/6/5,scelus/eris,n.
77,72/5/5,procedo/is/ere/cessi/cessum,PossibleVerb.
77,63/16/14,committo/is/ere/misi/missum,PossibleVerb.
77,62/25/15,pugno/as/are,PossibleVerb.
77,62/21/15,tutor/oris,m.
77,60/22/17,expono/is/ere/posui/positum,PossibleVerb.
77,14/124/63,mare/is,n.
76,8/115/68,armo/as/are,PossibleVerb.
76,76/0/0,umquam,adv.
76,76/0/0,membrum/i/n. (generalement au plur),PossibleVerb.
76,76/0/0,facultas/atis,f.
76,76/0/0,dignitas/atis,f.
76,70/8/6,desidero/as/are,PossibleVerb.
76,68/9/8,profero/fers/ferre/tuli/latum,PossibleVerb.
76,62/22/14,vereor/eris/eri/ueritus sum,PossibleVerb.
76,28/72/48,justus,adj.
75,75/0/0,religio/relligio/onis,f.
75,75/0/0,opinio/onis/f,PossibleVerb.
75,75/0/0,legio/onis,f.
75,75/0/0,aliter,adv.
