Total,Ambiguous,Word,POS
98,98/0/0,frater/tris,m.
98,39/95/59,paro/as/are : preparer/procurer (paratus,adj.
97,95/2/2,metus/us,m.
97,87/11/10,adfero/fers/ferre/adttuli att-/adlatum all-,PossibleVerb.
96,58/61/38,necessarius,adj.
96,49/72/47,nox/noctis,f.
95,78/54/17,caput/itis,n.
94,94/0/0,velut,adv.
94,94/0/0,plerique/aeque/aque,PossibleVerb.
94,90/4/4,accedo/is/ere/cessi/cessum,PossibleVerb.
94,80/15/14,cogo/is/ere/egi/actum,PossibleVerb.
93,80/16/13,uxor/oris,f.
93,8/202/85,adverto/(aduorto) is/ere/uerti/uersum,PossibleVerb.
93,46/57/47,orior/iris/iri/ortus sum,PossibleVerb.
93,39/79/54,honor/oris,m.
93,35/72/58,colo/is/ere/colui/cultum,PossibleVerb.
92,87/7/5,praesidium/ii,n.
92,84/14/8,praetor/oris,m.
92,17/141/75,indo/is/ere/indidi/inditum,PossibleVerb.
91,91/0/0,mulier/is,f.
91,89/2/2,disco/is/ere/didici,PossibleVerb.
91,57/49/34,maneo/es/ere/mansi/mansum,PossibleVerb.
91,47/60/44,pax/pacis,f.
90,90/0/0,praeter/conj. coord.,prep. + acc.
90,90/0/0,bene,adv.
90,74/24/16,dono/as/are,PossibleVerb.
90,68/28/22,suscipio/succipio/is/ere/cepi/ceptum,PossibleVerb.
90,42/67/48,navis/is,f.
89,89/0/0,dignitas/atis,f.
89,36/81/53,caedo/is/ere/cecidi/caesum,PossibleVerb.
89,0/172/89,super/era/erum cf. superus,PossibleVerb.
88,66/34/22,eques/itis,m.
88,20/175/68,regius,adj.
88,0/1465/88,quam/quamde/quande,adv.
87,87/0/0,negotium/ii,n.
87,79/9/8,postulo/as/are,PossibleVerb.
87,75/15/12,libertas/atis,f.
87,28/106/59,medius,adj.
87,25/110/62,cado/is/ere/cecidi/casum,PossibleVerb.
87,0/365/87,factum/i,n.
86,86/0/0,quaestio/ionis,f.
86,86/0/0,legio/onis,f.
86,72/16/14,prior/oris,PossibleVerb.
86,14/150/72,liber/bri,m.
85,85/0/0,restituo/is/ere/tui/tutum,PossibleVerb.
85,65/23/20,quicumque/quae-/quod- (-cun-),PossibleVerb.
85,44/66/41,talis,e
85,0/254/85,ceterum/i,n.
85,0/185/85,potis/pote,PossibleVerb.
85,0/1496/85,qui,adv.
84,84/0/0,alexander/dri,m.
84,67/52/17,dux/ducis,m.
84,51/53/33,memoria/ae,f.
84,29/102/55,Graecus,adj.
83,83/0/0,impono/is/ere/sui/situm,PossibleVerb.
83,56/45/27,forma/ae,f.
82,9/283/73,ver/eris,n.
82,82/0/0,sermo/onis,m.
82,82/0/0,exemplum/i,n.
82,79/4/3,poena/ae,f.
82,73/10/9,oppidum/i,n.
82,69/16/13,divido/is/ere/uisi/uisum,PossibleVerb.
82,58/36/24,solvo/is/ere/ui/utum,PossibleVerb.
