Total,Ambiguous,Word,POS
36,30/7/6,quisquis/quidquid ou quicquid,PossibleVerb.
36,3/81/33,sanctus,adj.
36,27/14/9,fundus/i,m.
36,24/23/12,ordo/inis,m.
36,23/23/13,adficio/is/ere/feci/fectum,PossibleVerb.
36,12/52/24,alienus,adj.
36,11/35/25,colo/is/ere/colui/cultum,PossibleVerb.
36,0/110/36,ceterum/i,n.
35,35/0/0,donec,conj. sub.
35,35/0/0,denique,adv.
35,30/6/5,tutor/oris,m.
35,28/18/7,contendo/is/ere/tendi/tentum,PossibleVerb.
35,26/12/9,propono/is/ere/posui/positum,PossibleVerb.
35,25/14/10,doceo/es/ere/cui/ctum,PossibleVerb.
35,22/22/13,tollo/is/tollere/sustuli/sublatum,PossibleVerb.
35,11/52/24,liber/bri,m.
35,11/40/24,justus,adj.
34,7/100/27,sol/solis,m.
34,34/0/0,pignus/oris,n.
34,34/0/0,debitor/oris,m.
34,33/1/1,praesidium/ii,n.
34,29/7/5,sacerdos/dotis,m.
34,26/11/8,memoria/ae,f.
34,26/10/8,remitto/is/ere/misi/missum,PossibleVerb.
34,18/24/16,nox/noctis,f.
34,14/33/20,orator/oris,m.
34,12/42/22,Graecus,adj.
34,11/46/23,decerno/is/ere/creui/cretum,PossibleVerb.
34,0/113/34,patria/ae,f. sing.
33,33/0/0,voluptas/atis,f.
33,33/0/0,spiritus/us,m.
33,33/0/0,sacramentum/i,n.
33,33/0/0,praemium/ii,n.
33,33/0/0,omnino,adv.
33,33/0/0,legio/onis,f.
33,33/0/0,haud/hau/haut,adv. neg.
33,33/0/0,exemplum/i,n.
33,29/8/4,numerus/i,m.
33,29/5/4,equus/i,m.
33,29/4/4,noceo/es/ere/nocui/nocitum,PossibleVerb.
33,25/11/8,exigo/is/ere/egi/actum,PossibleVerb.
33,24/14/9,signum/i,n.
33,23/22/10,oro/as/are,PossibleVerb.
33,18/23/15,depono/is/ere/posui/positum,PossibleVerb.
33,16/24/17,consentio/is/ire/sensi/sensum,PossibleVerb.
33,0/103/33,ceteri/ae,a pl.
32,9/57/23,casus/cassus/us,m.
32,32/0/0,ultra,adv.
32,32/0/0,prohibeo/es/ere/bui/bitum,PossibleVerb.
32,32/0/0,proelium/ii,n.
32,32/0/0,cedo/is/ere/cessi/cessum,PossibleVerb.
32,32/0/0,argentum/i,n.
32,31/2/1,cogito/as/are,PossibleVerb.
32,29/3/3,arbitror/aris/ari/atus sum,PossibleVerb.
32,25/12/7,laudo/as/are,PossibleVerb.
32,24/11/8,deduco/is/ere/duxi/ductum,PossibleVerb.
32,24/10/8,dignus,adj.
32,22/14/10,advenio/is/ire/ueni/uentum,PossibleVerb.
32,21/16/11,ingredior/eris/i/gressus sum,PossibleVerb.
32,20/19/12,vetus/eris,PossibleVerb.
32,0/576/32,quam/quamde/quande,adv.
32,0/115/32,solum/i,n.
31,9/40/22,possideo/es/ere/sedi/sessum,PossibleVerb.
31,8/37/23,lis/litis,f.
31,31/0/0,velut,adv.
31,31/0/0,transfero/fers/ferre/tuli/latum,PossibleVerb.
31,31/0/0,spatium/ii,n.
31,31/0/0,praeter/conj. coord.,prep. + acc.
31,31/0/0,paternus,adj.
31,31/0/0,donatio/onis,f.
31,31/0/0,Cicero/onis,m.
31,31/0/0,bene,adv.
31,31/0/0,addo/is/ere/didi/ditum,PossibleVerb.
31,28/8/3,curator/oris,m.
31,28/3/3,crassus,adj.
31,27/6/4,accuso/as/are,PossibleVerb.
31,24/9/7,appareo/es/ere/ui/itum,PossibleVerb.
31,24/8/7,clarus,adj.
31,24/41/7,licentia/ae,f.
31,23/10/8,adduco/is/ere/duxi/ductum,PossibleVerb.
31,15/24/16,damno/as/are : condamner (damnatus,adj.
31,14/26/17,navis/is,f.
30,7/96/23,loco/as/are,PossibleVerb.
30,6/46/24,mare/is,n.
30,30/0/0,quaestio/ionis,f.
30,30/0/0,pretium/ii,n.
30,30/0/0,juxta,adv.
30,30/0/0,impleo/es/ere/eui/etum,PossibleVerb.
30,30/0/0,exceptio/ionis,f.
30,30/0/0,circa,prep. + acc.
30,30/0/0,augustus,adj.
30,30/0/0,aliquando,adv.
30,29/1/1,error/oris,m.
30,29/1/1,deficio/is/ere/feci/fectum,PossibleVerb.
30,28/4/2,amor/oris,m.
30,28/2/2,muto/as/are,PossibleVerb.
30,22/12/8,forma/ae,f.
